rater,n,corr_correct_auto,pval_corr,decoupling_flag
Anastasia,16,0.4525,0.0785,False
Anonymous01,58,0.2223,0.0935,False
Anonymous_10.199.12.107,14,-0.2053,0.4814,False
Anonymous_10.199.12.115,44,-0.2846,0.0612,True
Anonymous_10.199.12.55,20,0.0708,0.7668,False
Anonymous_10.199.12.90,24,0.17,0.4271,False
Anonymous_10.199.126.142,6,-0.8332,0.0394,True
Anonymous_10.81.190.38,6,0.0338,0.9493,False
Anonymous_10.81.192.36,6,0.1309,0.8047,False
Anonymous_10.81.194.230,4,,,False
Anonymous_109.167.205.3,2,,,False
Anonymous_134.209.200.134,8,0.8451,0.0082,False
Anonymous_14.137.135.219,2,,,False
Anonymous_14.137.139.192,14,-0.146,0.6186,False
Anonymous_159.138.216.23,2,,,False
Anonymous_159.138.218.175,4,,,False
Anonymous_159.138.218.18,2,,,False
Anonymous_176.53.205.126,2,,,False
Anonymous_176.59.13.156,2,,,False
Anonymous_176.59.21.66,4,,,False
Anonymous_178.252.127.225,2,,,False
Anonymous_178.66.156.248,2,,,False
Anonymous_178.71.236.89,12,0.175,0.5865,False
Anonymous_185.24.52.32,8,0.0578,0.8918,False
Anonymous_188.170.78.137,2,,,False
Anonymous_188.170.82.230,4,,,False
Anonymous_188.187.74.97,16,-0.013,0.9618,False
Anonymous_188.243.182.141,8,0.0415,0.9223,False
Anonymous_188.243.238.216,2,,,False
Anonymous_213.152.165.107,4,,,False
Anonymous_5.166.36.31,8,,,False
Anonymous_5.18.163.156,2,,,False
Anonymous_5.18.95.129,2,,,False
Anonymous_77.234.193.84,14,,,False
Anonymous_77.234.203.186,6,0.8783,0.0213,False
Anonymous_77.234.216.36,2,,,False
Anonymous_85.143.144.79,16,,,False
Anonymous_85.249.20.122,2,,,False
Anonymous_88.201.165.124,2,,,False
Anonymous_88.201.167.57,2,,,False
Anonymous_95.161.223.140,12,,,False
Anonymous_95.55.35.26,8,0.5565,0.152,False
Artem,78,-0.3217,0.0041,True
Arthur,8,-0.2734,0.5123,False
Fedor,8,-0.6198,0.1012,False
Gorbatovski,8,-0.1133,0.7893,False
Sergey Kovalchuk,46,-0.0958,0.5264,False
TypingCat,38,-0.2833,0.0848,True
Vadim,22,-0.134,0.5523,False
XXZ,26,-0.1156,0.574,False
