rater,n,mean_inconsistency,inconsistency_flag
Anastasia,8,0.0625,False
Anonymous01,29,0.0057,False
Anonymous_10.199.12.107,7,0.0238,False
Anonymous_10.199.12.115,22,0.0379,False
Anonymous_10.199.12.55,10,0.1,False
Anonymous_10.199.12.90,12,0.0139,False
Anonymous_10.199.126.142,3,0.0,False
Anonymous_10.81.190.38,3,0.0,False
Anonymous_10.81.192.36,3,0.0,False
Anonymous_10.81.194.230,2,0.0,False
Anonymous_109.167.205.3,1,0.1667,True
Anonymous_134.209.200.134,4,0.0833,False
Anonymous_14.137.135.219,1,0.0,False
Anonymous_14.137.139.192,7,0.0476,False
Anonymous_159.138.216.23,1,0.0,False
Anonymous_159.138.218.175,2,0.0833,False
Anonymous_159.138.218.18,1,0.0,False
Anonymous_176.53.205.126,1,0.0,False
Anonymous_176.59.13.156,1,0.1667,True
Anonymous_176.59.21.66,2,0.0,False
Anonymous_178.252.127.225,1,0.0,False
Anonymous_178.66.156.248,1,0.0,False
Anonymous_178.71.236.89,6,0.0,False
Anonymous_185.24.52.32,4,0.25,True
Anonymous_188.170.78.137,1,0.0,False
Anonymous_188.170.82.230,2,0.0,False
Anonymous_188.187.74.97,8,0.0,False
Anonymous_188.243.182.141,4,0.125,True
Anonymous_188.243.238.216,1,0.0,False
Anonymous_213.152.165.107,2,0.0,False
Anonymous_5.166.36.31,4,0.0,False
Anonymous_5.18.163.156,1,0.3333,True
Anonymous_5.18.95.129,1,0.0,False
Anonymous_77.234.193.84,7,0.0,False
Anonymous_77.234.203.186,3,0.0,False
Anonymous_77.234.216.36,1,0.3333,True
Anonymous_85.143.144.79,8,0.0,False
Anonymous_85.249.20.122,1,0.0,False
Anonymous_88.201.165.124,1,0.0,False
Anonymous_88.201.167.57,1,0.1667,True
Anonymous_95.161.223.140,6,0.0,False
Anonymous_95.55.35.26,4,0.0,False
Artem,39,0.0085,False
Arthur,4,0.0,False
Fedor,4,0.0417,False
Gorbatovski,4,0.0417,False
Sergey Kovalchuk,23,0.1232,True
TypingCat,19,0.0439,False
Vadim,11,0.0,False
XXZ,13,0.0,False
