rater,mean_rating,z_score,bias_type
Anonymous_159.138.218.18,1.333,2.176,LENIENT (inflated ratings)
Anonymous_85.249.20.122,1.333,2.176,LENIENT (inflated ratings)
Anonymous_159.138.216.23,1.167,1.917,LENIENT (inflated ratings)
Anonymous_188.170.78.137,0.833,1.401,
Anonymous_178.252.127.225,0.833,1.401,
Anonymous_176.59.13.156,0.667,1.142,
Anonymous_109.167.205.3,0.667,1.142,
Anonymous_188.170.82.230,0.5,0.884,
Anonymous_134.209.200.134,0.5,0.884,
Anonymous_88.201.167.57,0.5,0.884,
Anonymous_188.243.182.141,0.417,0.755,
Anonymous_188.187.74.97,0.417,0.755,
Anonymous_88.201.165.124,0.333,0.626,
Anonymous_95.55.35.26,0.333,0.626,
Anonymous_10.199.12.55,0.217,0.445,
Gorbatovski,0.167,0.367,
Anonymous01,0.167,0.367,
Anonymous_185.24.52.32,0.083,0.238,
Anonymous_14.137.135.219,0.0,0.109,
Anonymous_85.143.144.79,0.0,0.109,
Anonymous_77.234.193.84,0.0,0.109,
Anonymous_95.161.223.140,0.0,0.109,
Anonymous_5.18.95.129,0.0,0.109,
Anonymous_5.18.163.156,0.0,0.109,
Anonymous_5.166.36.31,0.0,0.109,
Anonymous_188.243.238.216,0.0,0.109,
Anonymous_77.234.203.186,0.0,0.109,
XXZ,-0.026,0.069,
Anonymous_10.81.194.230,-0.083,-0.02,
Anonymous_176.59.21.66,-0.167,-0.149,
Anonymous_176.53.205.126,-0.167,-0.149,
Sergey Kovalchuk,-0.203,-0.205,
Anonymous_10.199.12.107,-0.214,-0.223,
Anonymous_159.138.218.175,-0.25,-0.278,
Anonymous_178.71.236.89,-0.278,-0.322,
Anonymous_14.137.139.192,-0.405,-0.518,
Arthur,-0.458,-0.601,
Anonymous_10.199.12.115,-0.561,-0.76,
TypingCat,-0.579,-0.788,
Anastasia,-0.583,-0.795,
Anonymous_77.234.216.36,-0.667,-0.924,
Vadim,-0.788,-1.112,
Anonymous_213.152.165.107,-0.833,-1.183,
Anonymous_10.81.190.38,-0.833,-1.183,
Anonymous_10.199.126.142,-0.889,-1.269,
Anonymous_10.199.12.90,-0.903,-1.29,
Anonymous_178.66.156.248,-1.0,-1.441,
Anonymous_10.81.192.36,-1.111,-1.613,STRICT (deflated ratings)
Fedor,-1.375,-2.022,STRICT (deflated ratings)
Artem,-1.611,-2.388,STRICT (deflated ratings)
