rater,n,prefer_left,neutral,prefer_right,pct_left,pct_right,chi2,pval,significant,bias_direction,low_power
Anastasia,8,3,2,3,37.5,37.5,0.0,1.0,False,,True
Anonymous01,29,7,11,11,24.1,37.9,0.889,0.3458,False,,True
Anonymous_10.199.12.107,7,2,1,4,28.6,57.1,0.667,0.4142,False,,True
Anonymous_10.199.12.115,22,4,12,6,18.2,27.3,0.4,0.5271,False,,True
Anonymous_10.199.12.55,10,3,6,1,30.0,10.0,1.0,0.3173,False,,True
Anonymous_10.199.12.90,12,6,4,2,50.0,16.7,2.0,0.1573,False,,True
Anonymous_14.137.139.192,7,3,0,4,42.9,57.1,0.143,0.7055,False,,True
Anonymous_178.71.236.89,6,0,6,0,0.0,0.0,0.0,1.0,False,,True
Anonymous_188.187.74.97,8,4,1,3,50.0,37.5,0.143,0.7055,False,,True
Anonymous_77.234.193.84,7,4,3,0,57.1,0.0,4.0,0.0455,True,LEFT (prefers Left answers),True
Anonymous_85.143.144.79,8,1,5,2,12.5,25.0,0.333,0.5637,False,,True
Anonymous_95.161.223.140,6,1,0,5,16.7,83.3,2.667,0.1025,False,,True
Artem,39,4,28,7,10.3,17.9,0.818,0.3657,False,,False
Sergey Kovalchuk,23,6,7,10,26.1,43.5,1.0,0.3173,False,,True
TypingCat,19,4,10,5,21.1,26.3,0.111,0.7389,False,,True
Vadim,11,1,9,1,9.1,9.1,0.0,1.0,False,,True
XXZ,13,3,4,6,23.1,46.2,1.0,0.3173,False,,True
