virtual_rater,side,original_rater,n,spearman_r,p_value
Anastasia_L,L,Anastasia,8,0.7872,0.0204
Anastasia_R,R,Anastasia,8,0.1909,0.6506
Anonymous01_L,L,Anonymous01,29,0.258,0.1766
Anonymous01_R,R,Anonymous01,29,0.2014,0.2948
Anonymous_10.199.12.107_L,L,Anonymous_10.199.12.107,7,-0.1581,0.7349
Anonymous_10.199.12.107_R,R,Anonymous_10.199.12.107,7,-0.2835,0.5379
Anonymous_10.199.12.115_L,L,Anonymous_10.199.12.115,22,-0.2366,0.2892
Anonymous_10.199.12.115_R,R,Anonymous_10.199.12.115,22,-0.3254,0.1395
Anonymous_10.199.12.55_L,L,Anonymous_10.199.12.55,10,0.0873,0.8106
Anonymous_10.199.12.55_R,R,Anonymous_10.199.12.55,10,0.0093,0.9796
Anonymous_10.199.12.90_L,L,Anonymous_10.199.12.90,12,0.0648,0.8413
Anonymous_10.199.12.90_R,R,Anonymous_10.199.12.90,12,0.3003,0.3429
Anonymous_10.199.126.142_L,L,Anonymous_10.199.126.142,3,,
Anonymous_10.199.126.142_R,R,Anonymous_10.199.126.142,3,,
Anonymous_10.81.190.38_L,L,Anonymous_10.81.190.38,3,,
Anonymous_10.81.190.38_R,R,Anonymous_10.81.190.38,3,,
Anonymous_10.81.192.36_L,L,Anonymous_10.81.192.36,3,,
Anonymous_10.81.192.36_R,R,Anonymous_10.81.192.36,3,,
Anonymous_10.81.194.230_L,L,Anonymous_10.81.194.230,2,,
Anonymous_10.81.194.230_R,R,Anonymous_10.81.194.230,2,,
Anonymous_109.167.205.3_L,L,Anonymous_109.167.205.3,1,,
Anonymous_109.167.205.3_R,R,Anonymous_109.167.205.3,1,,
Anonymous_134.209.200.134_L,L,Anonymous_134.209.200.134,4,,
Anonymous_134.209.200.134_R,R,Anonymous_134.209.200.134,4,,
Anonymous_14.137.135.219_L,L,Anonymous_14.137.135.219,1,,
Anonymous_14.137.135.219_R,R,Anonymous_14.137.135.219,1,,
Anonymous_14.137.139.192_L,L,Anonymous_14.137.139.192,7,-0.0598,0.8987
