virtual_rater,side,original_rater,n_evals,r_consistent_correct,r_useful_correct
Anastasia_L,L,Anastasia,8,0.521,0.8526
Anastasia_R,R,Anastasia,8,0.736,0.8579
Anonymous01_L,L,Anonymous01,29,0.782,0.2876
Anonymous01_R,R,Anonymous01,29,0.6212,1.0
Anonymous_10.199.12.107_L,L,Anonymous_10.199.12.107,7,0.6693,1.0
Anonymous_10.199.12.107_R,R,Anonymous_10.199.12.107,7,0.9713,0.939
Anonymous_10.199.12.115_L,L,Anonymous_10.199.12.115,22,0.2957,0.4445
Anonymous_10.199.12.115_R,R,Anonymous_10.199.12.115,22,0.6591,0.5966
Anonymous_10.199.12.55_L,L,Anonymous_10.199.12.55,10,0.5994,0.9507
Anonymous_10.199.12.55_R,R,Anonymous_10.199.12.55,10,0.2764,0.9226
Anonymous_10.199.12.90_L,L,Anonymous_10.199.12.90,12,0.7134,0.9247
Anonymous_10.199.12.90_R,R,Anonymous_10.199.12.90,12,0.7985,0.906
Anonymous_10.199.126.142_L,L,Anonymous_10.199.126.142,3,,
Anonymous_10.199.126.142_R,R,Anonymous_10.199.126.142,3,,
Anonymous_10.81.190.38_L,L,Anonymous_10.81.190.38,3,,
Anonymous_10.81.190.38_R,R,Anonymous_10.81.190.38,3,,
Anonymous_10.81.192.36_L,L,Anonymous_10.81.192.36,3,,
Anonymous_10.81.192.36_R,R,Anonymous_10.81.192.36,3,,
Anonymous_10.81.194.230_L,L,Anonymous_10.81.194.230,2,,
Anonymous_10.81.194.230_R,R,Anonymous_10.81.194.230,2,,
Anonymous_109.167.205.3_L,L,Anonymous_109.167.205.3,1,,
Anonymous_109.167.205.3_R,R,Anonymous_109.167.205.3,1,,
Anonymous_134.209.200.134_L,L,Anonymous_134.209.200.134,4,,
Anonymous_134.209.200.134_R,R,Anonymous_134.209.200.134,4,,
Anonymous_14.137.135.219_L,L,Anonymous_14.137.135.219,1,,
Anonymous_14.137.135.219_R,R,Anonymous_14.137.135.219,1,,
Anonymous_14.137.139.192_L,L,Anonymous_14.137.139.192,7,0.3757,1.0
Anonymous_14.137.139.192_R,R,Anonymous_14.137.139.192,7,1.0,1.0
Anonymous_159.138.216.23_L,L,Anonymous_159.138.216.23,1,,
Anonymous_159.138.216.23_R,R,Anonymous_159.138.216.23,1,,
Anonymous_159.138.218.175_L,L,Anonymous_159.138.218.175,2,,
Anonymous_159.138.218.175_R,R,Anonymous_159.138.218.175,2,,
Anonymous_159.138.218.18_L,L,Anonymous_159.138.218.18,1,,
Anonymous_159.138.218.18_R,R,Anonymous_159.138.218.18,1,,
Anonymous_176.53.205.126_L,L,Anonymous_176.53.205.126,1,,
Anonymous_176.53.205.126_R,R,Anonymous_176.53.205.126,1,,
Anonymous_176.59.13.156_L,L,Anonymous_176.59.13.156,1,,
Anonymous_176.59.13.156_R,R,Anonymous_176.59.13.156,1,,
Anonymous_176.59.21.66_L,L,Anonymous_176.59.21.66,2,,
Anonymous_176.59.21.66_R,R,Anonymous_176.59.21.66,2,,
Anonymous_178.252.127.225_L,L,Anonymous_178.252.127.225,1,,
Anonymous_178.252.127.225_R,R,Anonymous_178.252.127.225,1,,
Anonymous_178.66.156.248_L,L,Anonymous_178.66.156.248,1,,
Anonymous_178.66.156.248_R,R,Anonymous_178.66.156.248,1,,
Anonymous_178.71.236.89_L,L,Anonymous_178.71.236.89,6,0.9232,1.0
Anonymous_178.71.236.89_R,R,Anonymous_178.71.236.89,6,0.8104,0.9545
Anonymous_185.24.52.32_L,L,Anonymous_185.24.52.32,4,,
Anonymous_185.24.52.32_R,R,Anonymous_185.24.52.32,4,,
Anonymous_188.170.78.137_L,L,Anonymous_188.170.78.137,1,,
Anonymous_188.170.78.137_R,R,Anonymous_188.170.78.137,1,,
Anonymous_188.170.82.230_L,L,Anonymous_188.170.82.230,2,,
Anonymous_188.170.82.230_R,R,Anonymous_188.170.82.230,2,,
Anonymous_188.187.74.97_L,L,Anonymous_188.187.74.97,8,0.3614,0.378
Anonymous_188.187.74.97_R,R,Anonymous_188.187.74.97,8,0.8026,0.8639
Anonymous_188.243.182.141_L,L,Anonymous_188.243.182.141,4,,
Anonymous_188.243.182.141_R,R,Anonymous_188.243.182.141,4,,
Anonymous_188.243.238.216_L,L,Anonymous_188.243.238.216,1,,
Anonymous_188.243.238.216_R,R,Anonymous_188.243.238.216,1,,
Anonymous_213.152.165.107_L,L,Anonymous_213.152.165.107,2,,
Anonymous_213.152.165.107_R,R,Anonymous_213.152.165.107,2,,
Anonymous_5.166.36.31_L,L,Anonymous_5.166.36.31,4,,
Anonymous_5.166.36.31_R,R,Anonymous_5.166.36.31,4,,
Anonymous_5.18.163.156_L,L,Anonymous_5.18.163.156,1,,
Anonymous_5.18.163.156_R,R,Anonymous_5.18.163.156,1,,
Anonymous_5.18.95.129_L,L,Anonymous_5.18.95.129,1,,
Anonymous_5.18.95.129_R,R,Anonymous_5.18.95.129,1,,
Anonymous_77.234.193.84_L,L,Anonymous_77.234.193.84,7,,
Anonymous_77.234.193.84_R,R,Anonymous_77.234.193.84,7,,
Anonymous_77.234.203.186_L,L,Anonymous_77.234.203.186,3,,
Anonymous_77.234.203.186_R,R,Anonymous_77.234.203.186,3,,
Anonymous_77.234.216.36_L,L,Anonymous_77.234.216.36,1,,
Anonymous_77.234.216.36_R,R,Anonymous_77.234.216.36,1,,
Anonymous_85.143.144.79_L,L,Anonymous_85.143.144.79,8,,
Anonymous_85.143.144.79_R,R,Anonymous_85.143.144.79,8,,
Anonymous_85.249.20.122_L,L,Anonymous_85.249.20.122,1,,
Anonymous_85.249.20.122_R,R,Anonymous_85.249.20.122,1,,
Anonymous_88.201.165.124_L,L,Anonymous_88.201.165.124,1,,
Anonymous_88.201.165.124_R,R,Anonymous_88.201.165.124,1,,
Anonymous_88.201.167.57_L,L,Anonymous_88.201.167.57,1,,
Anonymous_88.201.167.57_R,R,Anonymous_88.201.167.57,1,,
Anonymous_95.161.223.140_L,L,Anonymous_95.161.223.140,6,,
Anonymous_95.161.223.140_R,R,Anonymous_95.161.223.140,6,,
Anonymous_95.55.35.26_L,L,Anonymous_95.55.35.26,4,,
Anonymous_95.55.35.26_R,R,Anonymous_95.55.35.26,4,,
Artem_L,L,Artem,39,0.9947,0.9962
Artem_R,R,Artem,39,0.8318,0.996
Arthur_L,L,Arthur,4,,
Arthur_R,R,Arthur,4,,
Fedor_L,L,Fedor,4,,
Fedor_R,R,Fedor,4,,
Gorbatovski_L,L,Gorbatovski,4,,
Gorbatovski_R,R,Gorbatovski,4,,
Sergey Kovalchuk_L,L,Sergey Kovalchuk,24,0.3233,0.8504
Sergey Kovalchuk_R,R,Sergey Kovalchuk,24,0.6394,0.8845
TypingCat_L,L,TypingCat,20,0.6249,0.9918
TypingCat_R,R,TypingCat,20,0.5028,0.8409
Vadim_L,L,Vadim,11,0.8912,0.943
Vadim_R,R,Vadim,11,0.6445,1.0
XXZ_L,L,XXZ,13,0.9634,0.9634
XXZ_R,R,XXZ,13,1.0,1.0
