virtual_rater,original_rater,side,n_evaluations,mean_rating,std_rating,mean_consistent,mean_correct,mean_useful
Anastasia_L,Anastasia,L,8,-0.75,1.1989578808281798,-0.125,-1.375,-0.75
Anastasia_R,Anastasia,R,8,-0.4166666666666667,1.578941276791368,0.25,-1.0,-0.5
Anonymous01_L,Anonymous01,L,29,0.13793103448275862,0.5289854482300621,0.20689655172413793,0.13793103448275862,0.06896551724137931
Anonymous01_R,Anonymous01,R,29,0.19540229885057472,0.5216922169154123,0.3103448275862069,0.13793103448275862,0.13793103448275862
Anonymous_10.199.12.107_L,Anonymous_10.199.12.107,L,7,-0.47619047619047616,1.8418171053155918,0.2857142857142857,-0.8571428571428571,-0.8571428571428571
Anonymous_10.199.12.107_R,Anonymous_10.199.12.107,R,7,0.047619047619047616,1.6754868653103983,0.2857142857142857,0.0,-0.14285714285714285
Anonymous_10.199.12.115_L,Anonymous_10.199.12.115,L,22,-0.5606060606060606,1.2807288156972219,0.2727272727272727,-1.2727272727272727,-0.6818181818181818
Anonymous_10.199.12.115_R,Anonymous_10.199.12.115,R,22,-0.5606060606060606,1.2807288156972219,0.18181818181818182,-1.3636363636363635,-0.5
Anonymous_10.199.12.55_L,Anonymous_10.199.12.55,L,10,0.1,1.6802777548171413,0.8,-0.1,-0.4
Anonymous_10.199.12.55_R,Anonymous_10.199.12.55,R,10,0.3333333333333333,1.3984117975602022,1.2,0.2,-0.4
Anonymous_10.199.12.90_R,Anonymous_10.199.12.90,R,12,-1.0833333333333333,1.5343293866268306,-1.0,-1.0833333333333333,-1.1666666666666667
Anonymous_10.199.12.90_L,Anonymous_10.199.12.90,L,12,-0.7222222222222222,1.5385980471251368,-0.4166666666666667,-0.9166666666666666,-0.8333333333333334
Anonymous_10.199.126.142_L,Anonymous_10.199.126.142,L,3,-1.3333333333333333,0.816496580927726,-0.6666666666666666,-1.6666666666666667,-1.6666666666666667
Anonymous_10.199.126.142_R,Anonymous_10.199.126.142,R,3,-0.4444444444444444,1.7708197167232476,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666
