rater,n_pair,r_pair,p_pair,n_individual,r_individual,p_individual,winner
Anastasia,8,0.126,0.7663,16,0.4525,0.0785,INDIVIDUAL
Anonymous01,29,0.0289,0.8816,58,0.2223,0.0935,INDIVIDUAL
Anonymous_10.199.12.107,7,-0.3181,0.4869,14,-0.2053,0.4814,PAIR
Anonymous_10.199.12.115,22,-0.511,0.0151,44,-0.2846,0.0612,PAIR
Anonymous_10.199.12.55,10,0.2497,0.4866,20,0.0708,0.7668,PAIR
Anonymous_10.199.12.90,12,0.0667,0.8369,24,0.17,0.4271,INDIVIDUAL
Anonymous_10.199.126.142,3,,,6,-0.8332,0.0394,INDIVIDUAL
Anonymous_10.81.190.38,3,,,6,0.0338,0.9493,INDIVIDUAL
Anonymous_10.81.192.36,3,,,6,0.1309,0.8047,INDIVIDUAL
Anonymous_10.81.194.230,2,,,4,,,N/A
Anonymous_109.167.205.3,1,,,2,,,N/A
Anonymous_134.209.200.134,4,,,8,0.8451,0.0082,INDIVIDUAL
Anonymous_14.137.135.219,1,,,2,,,N/A
Anonymous_14.137.139.192,7,0.0,1.0,14,-0.146,0.6186,INDIVIDUAL
Anonymous_159.138.216.23,1,,,2,,,N/A
Anonymous_159.138.218.175,2,,,4,,,N/A
Anonymous_159.138.218.18,1,,,2,,,N/A
Anonymous_176.53.205.126,1,,,2,,,N/A
Anonymous_176.59.13.156,1,,,2,,,N/A
Anonymous_176.59.21.66,2,,,4,,,N/A
Anonymous_178.252.127.225,1,,,2,,,N/A
Anonymous_178.66.156.248,1,,,2,,,N/A
Anonymous_178.71.236.89,6,,,12,0.175,0.5865,INDIVIDUAL
Anonymous_185.24.52.32,4,,,8,0.0578,0.8918,INDIVIDUAL
Anonymous_188.170.78.137,1,,,2,,,N/A
Anonymous_188.170.82.230,2,,,4,,,N/A
Anonymous_188.187.74.97,8,-0.2361,0.5734,16,-0.013,0.9618,PAIR
Anonymous_188.243.182.141,4,,,8,0.0415,0.9223,INDIVIDUAL
Anonymous_188.243.238.216,1,,,2,,,N/A
Anonymous_213.152.165.107,2,,,4,,,N/A
Anonymous_5.166.36.31,4,,,8,,,N/A
Anonymous_5.18.163.156,1,,,2,,,N/A
Anonymous_5.18.95.129,1,,,2,,,N/A
Anonymous_77.234.193.84,7,-0.2887,0.5301,14,,,N/A
Anonymous_77.234.203.186,3,,,6,0.8783,0.0213,INDIVIDUAL
Anonymous_77.234.216.36,1,,,2,,,N/A
Anonymous_85.143.144.79,8,-0.11,0.7955,16,,,N/A
Anonymous_85.249.20.122,1,,,2,,,N/A
Anonymous_88.201.165.124,1,,,2,,,N/A
Anonymous_88.201.167.57,1,,,2,,,N/A
Anonymous_95.161.223.140,6,0.0,1.0,12,,,N/A
Anonymous_95.55.35.26,4,,,8,0.5565,0.152,INDIVIDUAL
Artem,39,-0.11,0.5051,78,-0.3217,0.0041,INDIVIDUAL
Arthur,4,,,8,-0.2734,0.5123,INDIVIDUAL
Fedor,4,,,8,-0.6198,0.1012,INDIVIDUAL
Gorbatovski,4,,,8,-0.1133,0.7893,INDIVIDUAL
Sergey Kovalchuk,24,0.0661,0.7589,48,-0.0882,0.5509,INDIVIDUAL
TypingCat,20,-0.0536,0.8224,40,-0.3179,0.0456,INDIVIDUAL
Vadim,11,0.4045,0.2172,22,-0.134,0.5523,PAIR
XXZ,13,-0.0413,0.8933,26,-0.1156,0.574,INDIVIDUAL
