rater,n,r_slider_correct,r_slider_consistent,r_slider_useful,p_correct
Anastasia,8,0.5164,0.7795,0.7698,0.1901
Anonymous01,29,0.3983,0.3543,0.3941,0.0324
Anonymous_10.199.12.107,7,0.9425,0.8497,1.0,0.0015
Anonymous_10.199.12.115,22,0.6871,0.4491,0.8277,0.0004
Anonymous_10.199.12.55,10,0.5699,0.3675,0.6752,0.0854
Anonymous_10.199.12.90,12,0.8674,0.8409,0.9169,0.0003
Anonymous_10.199.126.142,3,,,,
Anonymous_10.81.190.38,3,,,,
Anonymous_10.81.192.36,3,,,,
Anonymous_10.81.194.230,2,,,,
Anonymous_109.167.205.3,1,,,,
Anonymous_134.209.200.134,4,,,,
Anonymous_14.137.135.219,1,,,,
Anonymous_14.137.139.192,7,0.8819,0.866,0.8819,0.0086
Anonymous_159.138.216.23,1,,,,
Anonymous_159.138.218.175,2,,,,
Anonymous_159.138.218.18,1,,,,
Anonymous_176.53.205.126,1,,,,
Anonymous_176.59.13.156,1,,,,
Anonymous_176.59.21.66,2,,,,
Anonymous_178.252.127.225,1,,,,
Anonymous_178.66.156.248,1,,,,
Anonymous_178.71.236.89,6,,,,
Anonymous_185.24.52.32,4,,,,
Anonymous_188.170.78.137,1,,,,
Anonymous_188.170.82.230,2,,,,
Anonymous_188.187.74.97,8,0.7022,0.5736,0.9792,0.0522
Anonymous_188.243.182.141,4,,,,
Anonymous_188.243.238.216,1,,,,
Anonymous_213.152.165.107,2,,,,
Anonymous_5.166.36.31,4,,,,
Anonymous_5.18.163.156,1,,,,
Anonymous_5.18.95.129,1,,,,
Anonymous_77.234.193.84,7,,,,
Anonymous_77.234.203.186,3,,,,
Anonymous_77.234.216.36,1,,,,
Anonymous_85.143.144.79,8,,,,
Anonymous_85.249.20.122,1,,,,
Anonymous_88.201.165.124,1,,,,
Anonymous_88.201.167.57,1,,,,
Anonymous_95.161.223.140,6,,,,
Anonymous_95.55.35.26,4,,,,
Artem,39,0.955,0.9981,0.9527,0.0
Arthur,4,,,,
Fedor,4,,,,
Gorbatovski,4,,,,
Sergey Kovalchuk,23,0.8798,0.6687,0.8364,0.0
TypingCat,19,0.8263,0.4076,0.9041,0.0
Vadim,11,0.4088,0.5188,0.4787,0.2119
XXZ,13,0.9147,0.9296,0.9296,0.0
POOLED,305,0.6975,,,0.0
