epoch,BERTScore,ROUGE,BLEU,Ruby,CodeBLEU
0,0.8178,0.0831,0.0027,0.0943,0.0415
1,0.8224,0.0766,0.0048,0.1374,0.0387
2,0.8108,0.0644,0.0049,0.1234,0.0510
3,0.8095,0.0665,0.0057,0.1115,0.0558
4,0.8108,0.0631,0.0053,0.1113,0.0550
5,0.8097,0.0592,0.0055,0.1136,0.0554
6,0.8096,0.0590,0.0052,0.1168,0.0537
7,0.8099,0.0641,0.0059,0.1197,0.0568
8,0.8096,0.0572,0.0056,0.1195,0.0569
9,0.8104,0.0609,0.0055,0.1158,0.0539
10,0.8093,0.0586,0.0054,0.1130,0.0519
11,0.8098,0.0605,0.0053,0.1128,0.0522
12,0.8106,0.0637,0.0052,0.1138,0.0512
13,0.8096,0.0588,0.0057,0.1142,0.0540
14,0.8105,0.0581,0.0056,0.1184,0.0517
15,0.8096,0.0611,0.0059,0.1181,0.0574
16,0.8093,0.0585,0.0055,0.1164,0.0539
17,0.8098,0.0615,0.0055,0.1147,0.0541
18,0.8098,0.0610,0.0053,0.1111,0.0530
19,0.8090,0.0577,0.0055,0.1141,0.0522
20,0.8093,0.0627,0.0056,0.1133,0.0543
21,0.8100,0.0576,0.0056,0.1140,0.0502
22,0.8098,0.0576,0.0053,0.1191,0.0505
23,0.8095,0.0571,0.0056,0.1167,0.0548
24,0.8098,0.0591,0.0054,0.1140,0.0512
25,0.8093,0.0584,0.0056,0.1151,0.0540
26,0.8107,0.0616,0.0057,0.1130,0.0510
27,0.8093,0.0606,0.0054,0.1145,0.0538
28,0.8098,0.0564,0.0053,0.1145,0.0536
29,0.8095,0.0588,0.0058,0.1128,0.0548
30,0.8099,0.0646,0.0056,0.1156,0.0533
