epoch,reward_acc_mean,reward_acc_consistent,reward_acc_correct,reward_acc_useful,reward_pos_mean,reward_neg_mean,reward_gap,val_loss,bertscore,bleu,codebleu,rouge,ruby
0,0.4859,0.4577,0.4577,0.5423,0.5324,0.5320,0.0003,0.7275,0.6328,0.5225,0.6262,0.5828,0.7245
1,0.9242,0.9246,0.9246,0.9233,0.9089,0.1524,0.7565,0.2082,0.6328,0.5225,0.6262,0.5828,0.7245
2,0.9449,0.9458,0.9444,0.9444,0.8993,0.0789,0.8204,0.1544,0.6328,0.5225,0.6262,0.5828,0.7245
3,0.9559,0.9550,0.9563,0.9563,0.9125,0.0478,0.8646,0.1438,0.6328,0.5225,0.6262,0.5828,0.7245
4,0.9656,0.9656,0.9656,0.9656,0.9391,0.0552,0.8838,0.1358,0.6328,0.5225,0.6262,0.5828,0.7245
5,0.9555,0.9563,0.9550,0.9550,0.9422,0.0575,0.8847,0.1544,0.6328,0.5225,0.6262,0.5828,0.7245
6,0.9612,0.9616,0.9616,0.9603,0.9230,0.0518,0.8711,0.1726,0.6328,0.5225,0.6262,0.5828,0.7245
7,0.9590,0.9590,0.9590,0.9590,0.9252,0.0543,0.8709,0.1701,0.6328,0.5225,0.6262,0.5828,0.7245
8,0.9378,0.9378,0.9378,0.9378,0.9470,0.0949,0.8521,0.1943,0.6328,0.5225,0.6262,0.5828,0.7245
9,0.9550,0.9550,0.9550,0.9550,0.9549,0.0717,0.8832,0.1563,0.6328,0.5225,0.6262,0.5828,0.7245
10,0.9594,0.9603,0.9590,0.9590,0.9240,0.0417,0.8822,0.1775,0.6328,0.5225,0.6262,0.5828,0.7245
11,0.9546,0.9550,0.9550,0.9537,0.9252,0.0506,0.8745,0.1778,0.6328,0.5225,0.6262,0.5828,0.7245
12,0.9599,0.9603,0.9603,0.9590,0.9549,0.0650,0.8899,0.1775,0.6328,0.5225,0.6262,0.5828,0.7245
13,0.9515,0.9511,0.9524,0.9511,0.9510,0.0758,0.8752,0.2105,0.6328,0.5225,0.6262,0.5828,0.7245
14,0.9484,0.9484,0.9484,0.9484,0.9439,0.0720,0.8719,0.2117,0.6328,0.5225,0.6262,0.5828,0.7245
15,0.9603,0.9603,0.9603,0.9603,0.9276,0.0402,0.8874,0.1935,0.6328,0.5225,0.6262,0.5828,0.7245
16,0.9550,0.9550,0.9550,0.9550,0.9463,0.0605,0.8858,0.1810,0.6328,0.5225,0.6262,0.5828,0.7245
17,0.9594,0.9603,0.9590,0.9590,0.9320,0.0439,0.8881,0.1784,0.6328,0.5225,0.6262,0.5828,0.7245
18,0.9550,0.9550,0.9550,0.9550,0.9379,0.0571,0.8808,0.1765,0.6328,0.5225,0.6262,0.5828,0.7245
19,0.9577,0.9577,0.9577,0.9577,0.9259,0.0382,0.8878,0.1975,0.6328,0.5225,0.6262,0.5828,0.7245
20,0.9563,0.9563,0.9563,0.9563,0.9290,0.0443,0.8847,0.1829,0.6328,0.5225,0.6262,0.5828,0.7245
21,0.9577,0.9577,0.9577,0.9577,0.9251,0.0321,0.8930,0.2003,0.6328,0.5225,0.6262,0.5828,0.7245
22,0.9537,0.9537,0.9537,0.9537,0.9360,0.0448,0.8912,0.2005,0.6328,0.5225,0.6262,0.5828,0.7245
23,0.9550,0.9550,0.9550,0.9550,0.9474,0.0541,0.8933,0.1803,0.6328,0.5225,0.6262,0.5828,0.7245
24,0.9599,0.9590,0.9603,0.9603,0.9514,0.0521,0.8993,0.1815,0.6328,0.5225,0.6262,0.5828,0.7245
25,0.9590,0.9590,0.9590,0.9590,0.9499,0.0475,0.9024,0.1776,0.6328,0.5225,0.6262,0.5828,0.7245
26,0.9577,0.9577,0.9577,0.9577,0.9512,0.0497,0.9015,0.1756,0.6328,0.5225,0.6262,0.5828,0.7245
27,0.9577,0.9577,0.9577,0.9577,0.9584,0.0530,0.9055,0.1830,0.6328,0.5225,0.6262,0.5828,0.7245
28,0.9577,0.9577,0.9577,0.9577,0.9535,0.0512,0.9024,0.1799,0.6328,0.5225,0.6262,0.5828,0.7245
29,0.9577,0.9577,0.9577,0.9577,0.9570,0.0521,0.9049,0.1831,0.6328,0.5225,0.6262,0.5828,0.7245
30,0.9577,0.9577,0.9577,0.9577,0.9571,0.0522,0.9048,0.1834,0.6328,0.5225,0.6262,0.5828,0.7245
